what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1338677815189
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1338677815190
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1338677815190
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1338677815191
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1338677815191
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1338677815192
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1338677815192
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1338677815192
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1338677815192
os,sysinfo,,,"win32",1338677815196
arch,sysinfo,,,"x86",1338677815196
ws,sysinfo,,,"win32",1338677815196
locale,sysinfo,,,"en_US",1338677815196
processors,sysinfo,,,"4",1338677815196
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1338677815196
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1338677815196
java.specification.name,sysinfo,,,"Java Platform API Specification",1338677815196
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1338677815196
java.specification.version,sysinfo,,,"1.6",1338677815196
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1338677815196
java.version,sysinfo,,,"1.6.0_18",1338677815196
java.vm.info,sysinfo,,,"mixed mode, sharing",1338677815196
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1338677815196
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1338677815196
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1338677815196
java.vm.specification.version,sysinfo,,,"1.0",1338677815196
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1338677815196
java.vm.version,sysinfo,,,"16.0-b13",1338677815196
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1338677815396
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1338677815417
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1338677815435
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1338677815443
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1338677816575
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1338677816591
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1338677816603
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1338677817471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338677819636
error,log,,,"mapview.xml: Failed to find style 'mapViewStyle' in current theme",1338677822497
error,log,,,"mapview.xml: Failed to find style 'mapViewStyle' in current theme",1338677822498
error,log,,,"mapview.xml: Failed to find style 'mapViewStyle' in current theme",1338677822499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338677831886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338677832917
opened,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1338677837639
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1338677837668
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338677857126
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1338677857216
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1338677860536
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1338677861721
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338677864224
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1338677874406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338677915946
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1338677915993
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1338677917124
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1338677917125
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1338677917127
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1338677917185
opened,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.DeviceView",1338677917263
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1338677919361
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1338677922467
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1338677922511
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1338677930888
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1338677932418
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1338677942916
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1338677945888
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1338677948598
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1338677953111
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1338677964511
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1338677964530
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1338677974572
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338677978335
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1338677978384
